title,genre1,genre2,start_date,end_date,day,time,num_eps,channel,next_drama,overview,pd1,pd2,pd3,wr1,wr2,wr3,ac1,ac2,ac3,ac4,first_rate,avg_rate,rate_25,prev,prev_25
배가본드,범죄,첩보,2019-09-20,2019-11-23,"금, 토",오후 10:00,16,sbs,스토브리그,민항 여객기 추락 사고에 연루된 한 남자가 은폐된 진실 속에서 찾아낸 거대한 국가 비리를 파헤치게 되는 과정을 그린 드라마,유인식,,,장영철,정경순,,이승기,배수지,신성록,문정희,,,,,
동백꽃 필 무렵,휴먼,멜로,2019-09-18,2019-11-21,"수, 목",오후 10:00,40,kbs2,99억의 여자,"편견에 갇힌 맹수 동백을 깨우는, 촌므파탈 황용식이의 폭격형 로맨스 ""사랑하면 다 돼!"" 이들을 둘러싼 생활밀착형 치정 로맨스 ""사랑 같은 소리하네.""",차영훈,,,임상춘,,,공효진,강하늘,김지석,지이수,,,,,
어쩌다 발견한 하루,로맨스,판타지,2019-10-02,2019-11-21,"수, 목",오후 8:55,32,mbc,하자있는 인간들,여고생 단오가 정해진 운명을 거스르고 사랑을 이뤄내는 본격 학원 로맨스 드라마,김상협,김상우,,송하영,인지혜,,김혜윤,로운,이재욱,이나은,,,,,
날 녹여주오,판타지,로맨스,2019-09-28,2019-11-17,"토, 일",오후 9:00,16,tvn,사랑의 불시착,24시간 냉동 인간 프로젝트에 참여한 남녀가 미스터리한 음모로 인해 20년 후 깨어나면서 맞이하는 가슴 뜨거운 이야기,신우철,,,백미경,,,지창욱,원진아,윤세아,윤석화,,,,,
청일전자 미쓰리,,,2019-09-25,2019-11-14,"수, 목",오후 9:30,16,tvn,싸이코패스 다이어리,위기의 중소기업 직원들이 삶을 버텨내며 함께 성장하는 과정을 그린 드라마,한동화,,,박정화,,,이혜리,김상경,엄현경,차서원,,,,,
수상한 장모,,,2019-05-20,2019-11-08,월~금,오전 8:35,123,sbs,맛 좀 보실래요,"첫눈에 반해 사랑에 빠진 은석과 제니. 흠잡을 데 없는 일등 사윗감인 은석을 결사 항전으로 막아서는 수상한 장모 수진. 장모님이 내 원수가 되어버린 은석의 사연, 그리고 수상한 장모의 비밀",이정훈,,,김인강,,,김혜선,신다은,박진우,손우혁,,,,,
조선혼담공작소 꽃파당,사극,,2019-09-16,2019-11-05,"월, 화",오후 9:30,16,jtbc,보좌관 2 - 세상을 움직이는 사람들,조선 최고의 매파당 '꽃파당'이 왕의 첫사랑이자 조선에서 가장 천한 여인 개똥을 가장 귀한 여인으로 만들려는 조선 혼담 대 사기극,김가람,임현욱,,김이랑,,,김민재,공승연,서지훈,박지훈,,,,,
태양의 계절,,,2019-06-03,2019-11-01,월~금,오후 7:50,102,kbs2,우아한 모녀,대한민국 경제사의 흐름과 맥을 같이 하는 양지그룹을 둘러싼 이기적 유전자들의 치열한 왕좌게임,김원용,,,이은주,,,오창석,윤소이,최성재,하시은,,,,,
달리는 조사관,코미디,휴먼,2019-09-18,2019-10-31,"수, 목",오후 11:00,14,ocn,,"평범한 인권증진위원회 조사관들이 그 누구도 도와주지 못했던 억울한 사연을 가진 사람들을 위해 싸워나가는, 사람 공감 통쾌극",김용수,,,백정철,이혜인,,이요원,최귀화,장현성,오미희,,,,,
황금정원,,,2019-07-20,2019-10-26,토,오후 9:05,60,mbc,두 번은 없다,인생을 뿌리째 도둑맞은 여자가 자신의 진짜 삶을 찾아내기 위한 과정을 담은 미스터리 휴먼 멜로 드라마,이대영,이동현,,박현주,,,한지혜,이상우,오지은,이태성,,,,,
여름아 부탁해,,,2019-04-29,2019-10-25,월~금,오후 8:30,128,kbs1,꽃길만 걸어요,미워도 미워할 수만은 없는 가족에 대한 이야기를 유쾌하고 따뜻하게 그린 가족 드라마,성준해,,,구지원,,,이영은,윤선우,이채영,김사권,,,,,
우아한 가,,,2019-08-21,2019-10-17,"수, 목",오후 11:00,16,mbn,,재벌가의 숨은 비밀과 이를 둘러싼 오너리스크 팀의 이야기를 다루는 미스터리 멜로드라마,한철수,육정용,,권민수,박민경,,임수향,이장우,배종옥,정원중,,,,,
위대한 쇼,,,2019-08-26,2019-10-15,"월, 화",오후 9:30,16,tvn,유령을 잡아라,전 국회의원 위대한이 국회 재입성을 위해 문제투성이 사남매를 가족으로 받아들이며 벌어지는 이야기,신용휘,김정욱,,설준석,,,송승헌,이선빈,임주환,노정의,,,,,
타인은 지옥이다,스릴러,피카레스크,2019-08-31,2019-10-06,"토, 일",오후 10:30,10,ocn,,상경한 청년이 서울의 낯선 고시원 생활 속에서 타인이 만들어낸 지옥을 경험하는 미스터리,이창희,,,정이도,,,임시완,이동욱,이정은,이현욱,,,,,
멜로가 체질,로맨스,,2019-08-09,2019-09-28,"금, 토",오후 10:50,16,jtbc,나의 나라,"서른 살 여자 친구들의 고민, 연애, 일상을 그린 코믹 드라마",이병헌,김혜영,,이병헌,김영영,,천우희,전여빈,한지은,안재홍,,,,,
